entry_id,domain,cell_id,option_a,option_b,n_samples,rate_a_empirical,rate_b_empirical,rate_ambiguous_empirical,rate_a_baseline_empirical,rate_b_baseline_empirical,delta_sum,delta_first,n_tokens_a,n_tokens_b,baseline_delta_sum,baseline_delta_first,te_a_sum,te_b_sum,te_a_first,te_b_first,empir_te_a,empir_te_b
cloud_provider,enterprise_tech,p0_t0_e0,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,4.21875,4.21875,1,1,4.2421875,4.2421875,3.0622940063476562,3.0857315063476562,3.0622940063476562,3.0857315063476562,0.0,0.0
cloud_provider,enterprise_tech,p0_t0_e1,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,4.65625,4.65625,1,1,4.2421875,4.2421875,3.437337875366211,3.023275375366211,3.437337875366211,3.023275375366211,0.0,0.0
cloud_provider,enterprise_tech,p0_t0_e2,AWS,GCP,25,0.96,0.04,0.0,1.0,0.0,2.21875,2.21875,1,1,4.2421875,4.2421875,0.7812252044677734,2.8046627044677734,0.7812252044677734,2.8046627044677734,-0.040000000000000036,0.04
cloud_provider,enterprise_tech,p0_t0_e3,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,4.078125,4.078125,1,1,4.2421875,4.2421875,1.1249828338623047,1.2890453338623047,1.1249828338623047,1.2890453338623047,0.0,0.0
cloud_provider,enterprise_tech,p0_t1_e0,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,7.78125,7.78125,1,1,4.2421875,4.2421875,7.999582290649414,4.460519790649414,7.999582290649414,4.460519790649414,0.0,0.0
cloud_provider,enterprise_tech,p0_t1_e1,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,9.562499046325684,9.562499046325684,1,1,4.2421875,4.2421875,10.934666633605957,5.614355087280273,10.934666633605957,5.614355087280273,0.0,0.0
cloud_provider,enterprise_tech,p0_t1_e2,AWS,GCP,25,0.96,0.04,0.0,1.0,0.0,2.9375,2.9375,1,1,4.2421875,4.2421875,4.187395095825195,5.492082595825195,4.187395095825195,5.492082595825195,-0.040000000000000036,0.04
cloud_provider,enterprise_tech,p0_t1_e3,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,8.75,8.75,1,1,4.2421875,4.2421875,10.559593200683594,6.051780700683594,10.559593200683594,6.051780700683594,0.0,0.0
cloud_provider,enterprise_tech,p0_t2_e0,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,6.53125,6.53125,1,1,4.2421875,4.2421875,5.99957275390625,3.71051025390625,5.99957275390625,3.71051025390625,0.0,0.0
cloud_provider,enterprise_tech,p0_t2_e1,AWS,GCP,25,1.0,0.0,0.0,1.0,0.0,9.499999046325684,9.499999046325684,1,1,4.2421875,4.2421875,8.437081336975098,3.179269790649414,8.437081336975098,3.179269790649414,0.0,0.0
cloud_provider,enterprise_tech,p0_t2_e2,AWS,GCP,25,0.72,0.28,0.0,1.0,0.0,3.84375,3.84375,1,1,4.2421875,4.2421875,2.499898910522461,2.898336410522461,2.499898910522461,2.898336410522461,-0.28,0.28
